Município,Participação PIB
Bebedouro (SP),"23,91"
Bento de Abreu (SP),"1,72"
Bernardino de Campos (SP),"3,33"
Bertioga (SP),"2,82"
Bilac (SP),"3,41"
Birigui (SP),"45,97"
Biritiba Mirim (SP),"1,76"
Boa Esperança do Sul (SP),"1,49"
Bocaina (SP),"1,77"
Bofete (SP),"2,46"
Boituva (SP),"24,77"
Bom Jesus dos Perdões (SP),"4,66"
Bom Sucesso de Itararé (SP),"0,72"
Borá (SP),"0,6"
Boracéia (SP),"3,26"
Borborema (SP),"2,02"
Borebi (SP),"0,27"
Botucatu (SP),"69,29"
Bragança Paulista (SP),"25,35"
Braúna (SP),"1,41"
Brejo Alegre (SP),"0,88"
Brodowski (SP),"1,48"
Brotas (SP),"6,53"
Buri (SP),"7,66"
Buritama (SP),"7,31"
Buritizal (SP),"5,79"
Cabrália Paulista (SP),"0,37"
Cabreúva (SP),"6,09"
Caçapava (SP),"5,33"
Cachoeira Paulista (SP),"3,7"
Caconde (SP),"3,34"
Cafelândia (SP),"6,39"
Caiabu (SP),"0,31"
Caieiras (SP),"36,49"
Caiuá (SP),"0,42"
Cajamar (SP),"11,14"
Cajati (SP),"17,37"
Cajobi (SP),"1,95"
Cajuru (SP),"16,63"
Campina do Monte Alegre (SP),"1,79"
Campinas (SP),"28,64"
Campo Limpo Paulista (SP),"2,74"
Campos do Jordão (SP),"69,44"
Campos Novos Paulista (SP),"1,58"
Cananéia (SP),"2,62"
Canas (SP),"0,72"
Cândido Mota (SP),"12,31"
Cândido Rodrigues (SP),"0,63"
Canitar (SP),"1,45"
Capão Bonito (SP),"34,45"
Capela do Alto (SP),"0,4"
Capivari (SP),"6,74"
Caraguatatuba (SP),"12,18"
Carapicuíba (SP),"3,36"
Cardoso (SP),"5,51"
Casa Branca (SP),"6,85"
Cássia dos Coqueiros (SP),"6,4"
Castilho (SP),"17,21"
Catanduva (SP),"59,69"
Catiguá (SP),"1,75"
Cedral (SP),"1,42"
Cerqueira César (SP),"13,51"
Cerquilho (SP),"17,11"
Cesário Lange (SP),"5,41"
Charqueada (SP),"1,16"
Clementina (SP),"2,17"
Colina (SP),"19,72"
Colômbia (SP),"4,77"
Conchal (SP),"2,25"
Conchas (SP),"5,02"
Cordeirópolis (SP),"10,74"
Coroados (SP),"2,55"
Coronel Macedo (SP),"1,58"
Corumbataí (SP),2
Cosmópolis (SP),"0,83"
Cosmorama (SP),"8,7"
Cotia (SP),"31,69"
Cravinhos (SP),"2,91"
Cristais Paulista (SP),"2,17"
Cruzália (SP),"1,12"
Cruzeiro (SP),"17,5"
Cubatão (SP),"29,88"
Cunha (SP),"22,21"
Descalvado (SP),"11,09"
Diadema (SP),"1,89"
Dirce Reis (SP),"1,28"
Divinolândia (SP),"2,86"
Dobrada (SP),"0,54"
Dois Córregos (SP),"5,25"
Dolcinópolis (SP),"1,08"
Dourado (SP),"4,28"
Dracena (SP),"40,83"
Duartina (SP),"0,91"
Dumont (SP),"0,57"
Echaporã (SP),"1,04"
Eldorado (SP),"3,26"
Elias Fausto (SP),"0,39"
Elisiário (SP),"0,87"
Embaúba (SP),"0,65"
Embu das Artes (SP),"28,15"
Embu-Guaçu (SP),"2,86"
Emilianópolis (SP),"0,35"
Engenheiro Coelho (SP),"2,93"
Espírito Santo do Pinhal (SP),12
Espírito Santo do Turvo (SP),"0,81"
Estrela d'Oeste (SP),"16,09"
Estrela do Norte (SP),"0,27"
Euclides da Cunha Paulista (SP),"0,6"
Fartura (SP),"4,18"
Fernandópolis (SP),"52,75"
Fernando Prestes (SP),"1,2"
Fernão (SP),"0,55"
Ferraz de Vasconcelos (SP),"8,59"
Flora Rica (SP),"0,81"
Floreal (SP),"6,99"
Flórida Paulista (SP),"5,12"
Florínea (SP),"1,39"
Franca (SP),"70,48"
Francisco Morato (SP),"14,06"
Franco da Rocha (SP),"32,27"
Gabriel Monteiro (SP),"1,09"
Gália (SP),"1,18"
Garça (SP),"11,75"
Gastão Vidigal (SP),"7,33"
Gavião Peixoto (SP),"4,63"
General Salgado (SP),"23,48"
Getulina (SP),"2,02"
Glicério (SP),"1,46"
Guaiçara (SP),"2,17"
Guaimbê (SP),"4,14"
Guaíra (SP),"23,32"
Guapiaçu (SP),"2,38"
Guapiara (SP),"11,92"
Guará (SP),"14,65"
Guaraçaí (SP),"4,05"
Guaraci (SP),1
Guarani d'Oeste (SP),"0,79"
Guarantã (SP),"0,7"
Guararapes (SP),"9,82"
Guararema (SP),"2,8"
Guaratinguetá (SP),"43,32"
Guareí (SP),"3,72"
Guariba (SP),"6,65"
Guarujá (SP),"14,29"
Guarulhos (SP),"88,6"
Guatapará (SP),"0,41"
Guzolândia (SP),"7,99"
Herculândia (SP),"7,15"
Holambra (SP),"0,57"
Hortolândia (SP),"7,22"
Iacanga (SP),"2,36"
Iacri (SP),"6,37"
Iaras (SP),"2,38"
Ibaté (SP),"6,18"
Ibirá (SP),"0,85"
Ibirarema (SP),"1,98"
Ibitinga (SP),"7,68"
Ibiúna (SP),"37,14"
Icém (SP),"0,56"
Iepê (SP),"3,52"
Igaraçu do Tietê (SP),"2,4"
Igarapava (SP),"30,8"
Igaratá (SP),"0,25"
Iguape (SP),"15,72"
Ilhabela (SP),"37,51"
Ilha Comprida (SP),"13,5"
Ilha Solteira (SP),"8,75"
Indaiatuba (SP),"8,96"
Indiana (SP),"0,38"
Indiaporã (SP),"2,37"
Inúbia Paulista (SP),"2,64"
Ipaussu (SP),"4,4"
Iperó (SP),"0,99"
Ipeúna (SP),"5,5"
Ipiguá (SP),"0,33"
Iporanga (SP),"1,72"
Ipuã (SP),"3,82"
Iracemápolis (SP),"5,56"
Irapuã (SP),"5,35"
Irapuru (SP),"2,12"
Itaberá (SP),"11,38"
Itaí (SP),"13,06"
Itajobi (SP),"26,87"
Itaju (SP),"1,46"
Itanhaém (SP),"38,17"
Itaoca (SP),"1,45"
Itapecerica da Serra (SP),"9,66"
Itapetininga (SP),"75,46"
Itapeva (SP),"42,45"
Itapevi (SP),"6,31"
Itapira (SP),"21,07"
Itapirapuã Paulista (SP),"1,43"
Itápolis (SP),"6,37"
Itaporanga (SP),"3,42"
Itapuí (SP),"6,31"
Itapura (SP),"1,3"
Itaquaquecetuba (SP),"17,24"
Itararé (SP),"13,25"
Itariri (SP),"7,07"
Itatiba (SP),"26,28"
Itatinga (SP),"5,6"
Itirapina (SP),"7,39"
Itirapuã (SP),"1,01"
Itobi (SP),"1,15"
Itu (SP),"10,76"
Itupeva (SP),"9,13"
Ituverava (SP),"45,2"
Jaborandi (SP),"1,32"
Jaboticabal (SP),"21,11"
Jacareí (SP),"16,44"
Jaci (SP),"1,8"
Jacupiranga (SP),"5,26"
Jaguariúna (SP),"5,49"
Jales (SP),"36,39"
Jambeiro (SP),"24,02"
Jandira (SP),"2,41"
Jardinópolis (SP),"2,62"
Jarinu (SP),"9,55"
Jaú (SP),"35,08"
Jeriquara (SP),"1,06"
Joanópolis (SP),"0,83"
João Ramalho (SP),"0,65"
José Bonifácio (SP),"3,68"
Júlio Mesquita (SP),"0,55"
Jumirim (SP),"0,48"
Jundiaí (SP),"62,5"
Junqueirópolis (SP),"22,83"
Juquiá (SP),"3,63"
Juquitiba (SP),"1,13"
Lagoinha (SP),"5,03"
Laranjal Paulista (SP),"10,3"
Lavínia (SP),"1,51"
Lavrinhas (SP),"0,73"
Leme (SP),"10,72"
Lençóis Paulista (SP),"17,68"
Limeira (SP),"41,98"
Lindóia (SP),"2,85"
Lins (SP),"63,29"
Lorena (SP),"21,32"
Lourdes (SP),"0,51"
Louveira (SP),"21,33"
Lucélia (SP),"11,29"
Lucianópolis (SP),"0,25"
Luís Antônio (SP),"2,58"
Luiziânia (SP),"1,09"
Lupércio (SP),"0,67"
Lutécia (SP),"0,82"
Macatuba (SP),"4,05"
Macaubal (SP),"8,24"
Macedônia (SP),"1,94"
Magda (SP),"8,89"
Mairinque (SP),"2,75"
Mairiporã (SP),"17,18"
Manduri (SP),"2,57"
Marabá Paulista (SP),"0,69"
Maracaí (SP),"4,19"
Marapoama (SP),"3,44"
Mariápolis (SP),"1,48"
Marília (SP),"66,46"
Marinópolis (SP),"0,74"
Martinópolis (SP),"3,32"
Matão (SP),"20,92"
Mauá (SP),"2,12"
Mendonça (SP),1
Meridiano (SP),"8,42"
Mesópolis (SP),"1,5"
Miguelópolis (SP),"8,76"
Mineiros do Tietê (SP),"1,42"
Miracatu (SP),"4,52"
Mira Estrela (SP),"1,5"
Mirandópolis (SP),"9,16"
Mirante do Paranapanema (SP),"2,67"
Mirassol (SP),"7,08"
Mirassolândia (SP),"0,57"
Mococa (SP),"17,68"
Mogi das Cruzes (SP),"35,51"
Mogi Guaçu (SP),"30,41"
Mogi Mirim (SP),"27,96"
Mombuca (SP),"0,28"
Monções (SP),"2,44"
Mongaguá (SP),"20,21"
Monte Alegre do Sul (SP),"2,92"
Monte Alto (SP),"14,27"
Monte Aprazível (SP),"32,06"
Monte Azul Paulista (SP),"3,75"
Monte Castelo (SP),"3,62"
Monteiro Lobato (SP),"3,98"
Monte Mor (SP),"1,7"
Morro Agudo (SP),"10,57"
Morungaba (SP),"2,02"
Motuca (SP),"0,47"
Murutinga do Sul (SP),"1,09"
Nantes (SP),"1,15"
Narandiba (SP),"2,81"
Natividade da Serra (SP),"6,36"
Nazaré Paulista (SP),"1,48"
Neves Paulista (SP),"11,55"
Nhandeara (SP),"15,38"
Nipoã (SP),"4,01"
Nova Aliança (SP),"0,87"
Nova Campina (SP),"2,48"
Nova Canaã Paulista (SP),"0,85"
Nova Castilho (SP),"5,18"
Nova Europa (SP),"1,47"
Nova Granada (SP),"1,36"
Nova Guataporanga (SP),"1,04"
Nova Independência (SP),"2,64"
Novais (SP),"0,9"
Nova Luzitânia (SP),"5,14"
Nova Odessa (SP),"1,58"
Novo Horizonte (SP),"45,57"
Nuporanga (SP),"7,48"
Ocauçu (SP),"0,96"
Óleo (SP),"1,13"
Olímpia (SP),"6,79"
Onda Verde (SP),"0,55"
Oriente (SP),"0,88"
Orindiúva (SP),"1,7"
Orlândia (SP),"22,24"
Osasco (SP),"42,24"
Oscar Bressane (SP),"0,77"
Osvaldo Cruz (SP),"21,02"
Ourinhos (SP),"34,92"
Ouroeste (SP),"11,72"
Ouro Verde (SP),"3,81"
Pacaembu (SP),"4,21"
Palestina (SP),"1,12"
Palmares Paulista (SP),"1,56"
Palmeira d'Oeste (SP),"3,95"
Palmital (SP),"7,3"
Panorama (SP),"8,98"
Paraguaçu Paulista (SP),"14,61"
Paraibuna (SP),"23,94"
Paraíso (SP),"3,15"
Paranapanema (SP),"13,34"
Paranapuã (SP),"2,44"
Parapuã (SP),"14,34"
Pardinho (SP),"4,27"
Pariquera-Açu (SP),"5,8"
Parisi (SP),"0,92"
Patrocínio Paulista (SP),"8,51"
Paulicéia (SP),"5,66"
Paulínia (SP),"20,57"
Paulistânia (SP),"0,17"
Paulo de Faria (SP),"0,72"
Pederneiras (SP),"19,27"
Pedra Bela (SP),"1,37"
Pedranópolis (SP),"1,71"
Pedregulho (SP),"10,82"
Pedreira (SP),"0,59"
Pedrinhas Paulista (SP),"1,43"
Pedro de Toledo (SP),"2,88"
Penápolis (SP),"24,25"
Pereira Barreto (SP),"13,48"
Pereiras (SP),"2,32"
Peruíbe (SP),"31,67"
Piacatu (SP),"1,39"
Piedade (SP),"25,02"
Pilar do Sul (SP),"19,99"
Pindamonhangaba (SP),"14,04"
Pindorama (SP),"5,71"
Pinhalzinho (SP),"3,64"
Piquerobi (SP),"0,3"
Piquete (SP),"1,09"
Piracaia (SP),"2,11"
Piracicaba (SP),"77,91"
Piraju (SP),"8,16"
Pirajuí (SP),"1,94"
Pirangi (SP),"2,14"
Pirapora do Bom Jesus (SP),"0,41"
Pirapozinho (SP),"4,08"
Pirassununga (SP),"42,58"
Piratininga (SP),1
Pitangueiras (SP),"8,14"
Planalto (SP),"0,52"
Platina (SP),"0,97"
Poá (SP),"6,83"
Poloni (SP),"6,46"
Pompéia (SP),"13,3"
Pongaí (SP),"0,34"
Pontal (SP),"2,42"
Pontalinda (SP),"1,8"
Pontes Gestal (SP),"2,17"
Populina (SP),"2,15"
Porangaba (SP),"1,71"
Porto Feliz (SP),"3,83"
Porto Ferreira (SP),"32,09"
Potim (SP),"1,7"
Potirendaba (SP),"1,65"
Pracinha (SP),"0,79"
Pradópolis (SP),"1,82"
Praia Grande (SP),"11,88"
Pratânia (SP),"1,46"
Presidente Alves (SP),"0,28"
Presidente Bernardes (SP),"1,46"
Presidente Epitácio (SP),"5,83"
Presidente Prudente (SP),"40,65"
Presidente Venceslau (SP),"3,62"
Promissão (SP),"19,79"
Quadra (SP),"1,05"
Quatá (SP),"6,66"
Queiroz (SP),"13,76"
Queluz (SP),"2,14"
Quintana (SP),"5,55"
Rafard (SP),1
Rancharia (SP),"6,08"
Redenção da Serra (SP),"4,55"
Regente Feijó (SP),"4,33"
Reginópolis (SP),"0,66"
Registro (SP),"23,33"
Restinga (SP),"1,32"
Ribeira (SP),"1,69"
Ribeirão Bonito (SP),"1,98"
Ribeirão Branco (SP),"16,17"
Ribeirão Corrente (SP),"1,99"
Ribeirão do Sul (SP),"1,98"
Ribeirão dos Índios (SP),"0,21"
Ribeirão Grande (SP),"3,18"
Ribeirão Pires (SP),"0,4"
Ribeirão Preto (SP),"66,23"
Riversul (SP),"1,04"
Rifaina (SP),"1,19"
Rincão (SP),"0,88"
Rinópolis (SP),"6,75"
Rio Claro (SP),"76,92"
Rio das Pedras (SP),"4,03"
Rio Grande da Serra (SP),"0,1"
Riolândia (SP),"4,61"
Rosana (SP),"8,48"
Roseira (SP),"2,06"
Rubiácea (SP),"0,65"
Rubinéia (SP),"1,89"
Sabino (SP),"1,64"
Sagres (SP),"1,06"
Sales (SP),"4,87"
Sales Oliveira (SP),"3,6"
Salesópolis (SP),"0,46"
Salmourão (SP),"1,87"
Saltinho (SP),"0,85"
Salto (SP),"9,5"
Salto de Pirapora (SP),"2,27"
Salto Grande (SP),"2,41"
Sandovalina (SP),"1,4"
Santa Adélia (SP),"4,38"
Santa Albertina (SP),"3,94"
Santa Bárbara d'Oeste (SP),"3,07"
Santa Branca (SP),"0,32"
Santa Clara d'Oeste (SP),"1,78"
Santa Cruz da Conceição (SP),"0,42"
Santa Cruz da Esperança (SP),"1,39"
Santa Cruz das Palmeiras (SP),"8,43"
Santa Cruz do Rio Pardo (SP),"24,56"
Santa Ernestina (SP),"0,61"
Santa Fé do Sul (SP),"24,69"
Santa Gertrudes (SP),"10,18"
Santa Isabel (SP),"1,9"
Santa Lúcia (SP),"0,51"
Santa Maria da Serra (SP),"0,35"
Santa Mercedes (SP),"1,95"
Santana da Ponte Pensa (SP),"0,73"
Santana de Parnaíba (SP),"5,66"
Santa Rita d'Oeste (SP),"1,25"
Santa Rita do Passa Quatro (SP),"1,37"
Santa Rosa de Viterbo (SP),"1,38"
Santa Salete (SP),"0,77"
Santo Anastácio (SP),"2,44"
Santo André (SP),"3,33"
Santo Antônio da Alegria (SP),"4,62"
Santo Antônio de Posse (SP),"8,29"
Santo Antônio do Aracanguá (SP),"2,37"
Santo Antônio do Jardim (SP),"1,29"
Santo Antônio do Pinhal (SP),"7,11"
Santo Expedito (SP),"0,21"
Santópolis do Aguapeí (SP),"0,94"
Santos (SP),"32,8"
São Bento do Sapucaí (SP),"19,48"
São Bernardo do Campo (SP),"5,95"
São Caetano do Sul (SP),"1,59"
São Carlos (SP),"75,36"
São Francisco (SP),"0,94"
São João da Boa Vista (SP),"24,02"
São João das Duas Pontes (SP),"1,12"
São João de Iracema (SP),"4,39"
São João do Pau d'Alho (SP),"1,65"
São Joaquim da Barra (SP),"18,89"
São José da Bela Vista (SP),"1,45"
São José do Barreiro (SP),"13,32"
São José do Rio Pardo (SP),"13,8"
São José do Rio Preto (SP),"55,76"
São José dos Campos (SP),"46,17"
São Lourenço da Serra (SP),"0,56"
São Luiz do Paraitinga (SP),"13,9"
São Manuel (SP),"15,53"
São Miguel Arcanjo (SP),"14,95"
São Paulo (SP),"84,63"
São Pedro (SP),2
São Pedro do Turvo (SP),"2,07"
São Roque (SP),"3,52"
São Sebastião (SP),"43,03"
São Sebastião da Grama (SP),"2,49"
São Simão (SP),"0,83"
São Vicente (SP),"8,33"
Sarapuí (SP),"0,21"
Sarutaiá (SP),"0,85"
Sebastianópolis do Sul (SP),"17,46"
Serra Azul (SP),"0,32"
Serrana (SP),"2,24"
Serra Negra (SP),"9,79"
Sertãozinho (SP),"11,78"
Sete Barras (SP),"3,75"
Severínia (SP),"3,11"
Silveiras (SP),"19,46"
Socorro (SP),"12,97"
Sorocaba (SP),"45,47"
Sud Mennucci (SP),"2,81"
Sumaré (SP),"6,35"
Suzano (SP),"26,83"
Suzanápolis (SP),"4,24"
Tabapuã (SP),"3,28"
Tabatinga (SP),"1,33"
Taboão da Serra (SP),"20,24"
Taciba (SP),"0,82"
Taguaí (SP),"3,03"
Taiaçu (SP),"0,64"
Taiúva (SP),"0,82"
Tambaú (SP),"4,07"
Tanabi (SP),"3,52"
Tapiraí (SP),"2,9"
Tapiratiba (SP),"1,75"
Taquaral (SP),"0,27"
Taquaritinga (SP),"9,73"
Taquarituba (SP),"11,07"
Taquarivaí (SP),"4,11"
Tarabai (SP),"0,74"
Tarumã (SP),"7,27"
Tatuí (SP),"37,06"
Taubaté (SP),"16,55"
Tejupá (SP),"1,22"
Teodoro Sampaio (SP),"2,76"
Terra Roxa (SP),"1,03"
Tietê (SP),"4,87"
Timburi (SP),"0,58"
Torre de Pedra (SP),"0,28"
Torrinha (SP),"1,65"
Trabiju (SP),"0,18"
Tremembé (SP),"0,92"
Três Fronteiras (SP),"2,24"
Tuiuti (SP),"0,58"
Tupã (SP),"44,48"
Tupi Paulista (SP),"9,62"
Turiúba (SP),"0,66"
Turmalina (SP),"1,57"
Ubarana (SP),"0,57"
Ubatuba (SP),"7,27"
Ubirajara (SP),"0,41"
Uchoa (SP),"1,07"
União Paulista (SP),"2,41"
Urânia (SP),"5,25"
Uru (SP),"0,17"
Urupês (SP),"13,89"
Valentim Gentil (SP),"7,51"
Valinhos (SP),"3,13"
Valparaíso (SP),"10,12"
Vargem (SP),"0,49"
Vargem Grande do Sul (SP),"7,48"
Vargem Grande Paulista (SP),"5,7"
Várzea Paulista (SP),"4,3"
Vera Cruz (SP),"1,64"
Vinhedo (SP),"4,93"
Viradouro (SP),"2,6"
Vista Alegre do Alto (SP),"2,49"
Vitória Brasil (SP),"0,83"
Votorantim (SP),4
Votuporanga (SP),"66,27"
Zacarias (SP),"0,35"
Chavantes (SP),"2,35"
Estiva Gerbi (SP),"1,72"
Abatiá (PR),"3,42"
Adrianópolis (PR),"42,24"
Agudos do Sul (PR),"5,74"
Almirante Tamandaré (PR),"1,04"
Altamira do Paraná (PR),"1,69"
Altônia (PR),"4,53"
Alto Paraná (PR),"4,64"
Alto Piquiri (PR),"4,01"
Alvorada do Sul (PR),"10,91"
Amaporã (PR),"1,29"
Ampére (PR),"18,01"
Anahy (PR),"0,48"
Andirá (PR),"12,59"
Ângulo (PR),"2,02"
Antonina (PR),"4,03"
Antônio Olinto (PR),"10,02"
Apucarana (PR),"32,86"
Arapongas (PR),"42,02"
Arapoti (PR),"28,42"
Arapuã (PR),"3,59"
Araruna (PR),"5,14"
Araucária (PR),"13,61"
Ariranha do Ivaí (PR),"3,04"
Assaí (PR),"23,84"
Assis Chateaubriand (PR),"7,23"
Astorga (PR),"11,59"
Atalaia (PR),"2,33"
Balsa Nova (PR),"0,5"
Bandeirantes (PR),"15,93"
Barbosa Ferraz (PR),"2,81"
Barracão (PR),"2,39"
Barra do Jacaré (PR),"3,28"
Bela Vista da Caroba (PR),"2,57"
Bela Vista do Paraíso (PR),"16,89"
Bituruna (PR),"12,56"
Boa Esperança (PR),"5,03"
Boa Esperança do Iguaçu (PR),"1,29"
Boa Ventura de São Roque (PR),"15,47"
Boa Vista da Aparecida (PR),"0,77"
Bocaiúva do Sul (PR),"0,15"
Bom Jesus do Sul (PR),"1,05"
Bom Sucesso (PR),"11,02"
Bom Sucesso do Sul (PR),"2,95"
Borrazópolis (PR),"17,21"
Braganey (PR),1
Brasilândia do Sul (PR),"2,7"
Cafeara (PR),"1,5"
Cafelândia (PR),"8,05"
Cafezal do Sul (PR),"1,46"
Califórnia (PR),"2,15"
Cambará (PR),"17,87"
Cambé (PR),"13,96"
Cambira (PR),"2,38"
Campina da Lagoa (PR),"10,18"
Campina do Simão (PR),"0,89"
Campina Grande do Sul (PR),"1,17"
Campo Bonito (PR),"0,93"
Campo do Tenente (PR),"6,91"
Campo Largo (PR),"3,09"
Campo Magro (PR),"0,29"
Campo Mourão (PR),"48,33"
Cândido de Abreu (PR),"9,95"
Candói (PR),"5,02"
Cantagalo (PR),"1,98"
Capanema (PR),"26,56"
Capitão Leônidas Marques (PR),"5,19"
Carambeí (PR),"5,99"
Carlópolis (PR),"12,15"
Cascavel (PR),"65,21"
Castro (PR),"13,78"
Catanduvas (PR),"1,47"
Centenário do Sul (PR),"5,76"
Cerro Azul (PR),"46,39"
Céu Azul (PR),"3,45"
Chopinzinho (PR),"8,94"
Cianorte (PR),"49,92"
Cidade Gaúcha (PR),"7,09"
Clevelândia (PR),"17,28"
Colombo (PR),"3,07"
Colorado (PR),"10,45"
Congonhinhas (PR),"4,4"
Conselheiro Mairinck (PR),"6,94"
Contenda (PR),"0,3"
Corbélia (PR),"4,4"
Cornélio Procópio (PR),"27,93"
Coronel Domingos Soares (PR),"6,67"
Coronel Vivida (PR),"8,72"
Corumbataí do Sul (PR),"0,82"
Cruzeiro do Iguaçu (PR),"1,6"
Cruzeiro do Oeste (PR),"8,42"
Cruzeiro do Sul (PR),"2,19"
Cruz Machado (PR),"11,49"
Cruzmaltina (PR),"10,59"
Curitiba (PR),"52,78"
Curiúva (PR),"12,56"
Diamante do Norte (PR),"3,17"
Diamante do Sul (PR),"0,31"
Diamante D'Oeste (PR),"0,57"
Dois Vizinhos (PR),"18,31"
Douradina (PR),"8,24"
Doutor Camargo (PR),"12,14"
Enéas Marques (PR),"2,81"
Engenheiro Beltrão (PR),"5,32"
Esperança Nova (PR),"0,64"
Entre Rios do Oeste (PR),"1,39"
Espigão Alto do Iguaçu (PR),"0,96"
Farol (PR),"2,03"
Faxinal (PR),"35,03"
Fazenda Rio Grande (PR),"1,78"
Fênix (PR),2
Fernandes Pinheiro (PR),"4,94"
Figueira (PR),"7,35"
Floraí (PR),"14,49"
Flor da Serra do Sul (PR),"1,65"
Floresta (PR),"16,43"
Florestópolis (PR),"12,9"
Flórida (PR),"1,06"
Formosa do Oeste (PR),"1,64"
Foz do Iguaçu (PR),"69,37"
Francisco Alves (PR),"2,85"
Francisco Beltrão (PR),"33,38"
Foz do Jordão (PR),"1,09"
General Carneiro (PR),"10,13"
Godoy Moreira (PR),"1,71"
Goioerê (PR),"18,9"
Goioxim (PR),"1,83"
Grandes Rios (PR),"4,08"
Guaíra (PR),"5,05"
Guairaçá (PR),"2,9"
Guamiranga (PR),"5,74"
Guapirama (PR),"4,69"
Guaporema (PR),"1,28"
Guaraci (PR),"2,94"
Guaraniaçu (PR),"2,11"
Guarapuava (PR),"49,05"
Guaraqueçaba (PR),"0,68"
Guaratuba (PR),"5,65"
Honório Serpa (PR),"6,16"
Ibaiti (PR),"39,98"
Ibema (PR),"0,75"
Ibiporã (PR),"9,19"
Icaraíma (PR),"2,42"
Iguaraçu (PR),"2,79"
Iguatu (PR),"0,35"
Imbaú (PR),"2,64"
Imbituva (PR),"25,11"
Inácio Martins (PR),"1,57"
Inajá (PR),"0,62"
Indianópolis (PR),"8,33"
Ipiranga (PR),"11,97"
Iporã (PR),"5,85"
Iracema do Oeste (PR),"0,86"
Irati (PR),"53,04"
Iretama (PR),"3,33"
Itaguajé (PR),"1,6"
Itaipulândia (PR),"1,92"
Itambaracá (PR),"3,45"
Itambé (PR),"13,83"
Itapejara d'Oeste (PR),"7,4"
Itaperuçu (PR),"0,34"
Itaúna do Sul (PR),"0,93"
Ivaí (PR),"9,68"
Ivaiporã (PR),"22,38"
Ivaté (PR),2
Ivatuba (PR),"8,7"
Jaboti (PR),"7,28"
Jacarezinho (PR),"34,86"
Jaguapitã (PR),"13,78"
Jaguariaíva (PR),"35,13"
Jandaia do Sul (PR),"6,7"
Janiópolis (PR),"4,26"
Japira (PR),"7,44"
Japurá (PR),"5,27"
Jardim Alegre (PR),"8,83"
Jardim Olinda (PR),"0,61"
Jataizinho (PR),"12,49"
Jesuítas (PR),"1,96"
Joaquim Távora (PR),18
Jundiaí do Sul (PR),"2,79"
Juranda (PR),"7,76"
Jussara (PR),"6,65"
Kaloré (PR),"11,6"
Lapa (PR),"94,57"
Laranjal (PR),"4,84"
Laranjeiras do Sul (PR),"6,07"
Leópolis (PR),"3,5"
Lidianópolis (PR),"2,97"
Lindoeste (PR),"0,83"
Loanda (PR),"7,43"
Lobato (PR),"2,83"
Londrina (PR),"65,5"
Luiziana (PR),"5,13"
Lunardelli (PR),"3,36"
Lupionópolis (PR),"1,73"
Mallet (PR),"17,59"
Mamborê (PR),"7,45"
Mandaguaçu (PR),"9,03"
Mandaguari (PR),"6,06"
Mandirituba (PR),"0,36"
Manfrinópolis (PR),"0,74"
Mangueirinha (PR),"36,56"
Manoel Ribas (PR),"12,55"
Marechal Cândido Rondon (PR),"12,94"
Maria Helena (PR),"1,32"
Marialva (PR),"8,77"
Marilândia do Sul (PR),"3,96"
Marilena (PR),"1,86"
Mariluz (PR),"2,79"
Maringá (PR),"74,83"
Mariópolis (PR),"4,32"
Maripá (PR),"2,12"
Marmeleiro (PR),"5,74"
Marquinho (PR),"0,66"
Marumbi (PR),"7,25"
Matelândia (PR),"4,01"
Matinhos (PR),"5,13"
Mato Rico (PR),"5,27"
Mauá da Serra (PR),"3,17"
Medianeira (PR),"8,93"
Mercedes (PR),"1,23"
Mirador (PR),"1,35"
Miraselva (PR),"1,69"
Missal (PR),"1,71"
Moreira Sales (PR),"5,39"
Morretes (PR),"2,24"
Munhoz de Melo (PR),"1,8"
Nossa Senhora das Graças (PR),"1,31"
Nova Aliança do Ivaí (PR),"0,55"
Nova América da Colina (PR),"1,5"
Nova Aurora (PR),"3,39"
Nova Cantu (PR),"6,12"
Nova Esperança (PR),"12,38"
Nova Esperança do Sudoeste (PR),"1,49"
Nova Fátima (PR),"4,85"
Nova Laranjeiras (PR),"1,82"
Nova Londrina (PR),"4,71"
Nova Olímpia (PR),"1,07"
Nova Santa Bárbara (PR),"4,89"
Nova Santa Rosa (PR),"1,95"
Nova Prata do Iguaçu (PR),"4,45"
Nova Tebas (PR),"4,48"
Novo Itacolomi (PR),"0,78"
Ortigueira (PR),"26,06"
Ourizona (PR),"10,1"
Ouro Verde do Oeste (PR),"1,41"
Paiçandu (PR),"3,49"
Palmas (PR),"33,33"
Palmeira (PR),"6,23"
Palmital (PR),"14,16"
Palotina (PR),"12,46"
Paraíso do Norte (PR),"4,01"
Paranacity (PR),"3,46"
Paranaguá (PR),"78,51"
Paranapoema (PR),"0,98"
Paranavaí (PR),"33,84"
Pato Bragado (PR),"1,08"
Pato Branco (PR),"44,71"
Paula Freitas (PR),10
Paulo Frontin (PR),"9,02"
Peabiru (PR),"4,26"
Perobal (PR),"2,76"
Pérola (PR),"3,52"
Pérola d'Oeste (PR),"5,71"
Piên (PR),"24,26"
Pinhais (PR),"4,29"
Pinhalão (PR),"11,45"
Pinhal de São Bento (PR),"0,73"
Pinhão (PR),"10,6"
Piraí do Sul (PR),"23,4"
Piraquara (PR),"0,83"
Pitanga (PR),"48,82"
Pitangueiras (PR),"0,34"
Planaltina do Paraná (PR),"1,11"
Planalto (PR),"10,21"
